YEAR,City_State,POPULATION,id
2010,"El Dorado Hills, California",43179,0
2010,"Eldridge, California",1757,1
2010,"El Granada, California",4669,2
2010,"Elizabeth Lake, California",1609,3
2010,"Elk Creek, California",118,4
2010,"Elk Grove, California",141200,5
2010,"Elkhorn, California",1720,6
2010,"Elmira, California",153,7
2010,"El Monte, California",113888,8
2010,"El Nido, California",250,9
2010,"El Paso de Robles (Paso Robles), California",28794,10
2010,"El Portal, California",378,11
2010,"El Rancho, California",47,12
2010,"El Rio, California",6159,13
2010,"El Segundo, California",16534,14
2010,"El Sobrante (Contra Costa County), California",13489,15
2010,"El Sobrante (Riverside County), California",11122,16
2010,"El Verano, California",3746,17
2010,"Elverta, California",5044,18
2010,"Emerald Lake Hills, California",4445,19
2010,"Emeryville, California",9393,20
2010,"Empire, California",3763,21
2010,"Encinitas, California",58761,22
2010,"Escalon, California",7054,23
2010,"Escondido, California",140998,24
2010,"Esparto, California",2720,25
2010,"Etna, California",650,26
2010,"Eucalyptus Hills, California",5867,27
2010,"Eureka, California",26954,28
2010,"Exeter, California",10139,29
2010,"Fairbanks Ranch, California",1976,30
2010,"Fairfax, California",7346,31
2010,"Fairfield, California",103698,32
2010,"Fairmead, California",935,33
2010,"Fair Oaks, California",30715,34
2010,"Fairview, California",9812,35
2010,"Fallbrook, California",29892,36
2010,"Fall River Mills, California",545,37
2010,"Farmersville, California",10283,38
2010,"Farmington, California",300,39
2010,"Fellows, California",162,40
2010,"Felton, California",4528,41
2010,"Ferndale, California",1693,42
2010,"Fetters Hot Springs-Agua Caliente, California",3504,43
2010,"Fiddletown, California",83,44
2010,"Fieldbrook, California",927,45
2010,"Fields Landing, California",259,46
2010,"Fillmore, California",14721,47
2010,"Firebaugh, California",7373,48
2010,"Fish Camp, California",0,49
2010,"Florence-Graham, California",60834,50
2010,"Florin, California",47869,51
2010,"Floriston, California",27,52
2010,"Flournoy, California",110,53
2010,"Folsom, California",69068,54
2010,"Fontana, California",189466,55
2010,"Foothill Farms, California",32800,56
2010,"Forbestown, California",355,57
2010,"Ford City, California",3684,58
2010,"Foresthill, California",1895,59
2010,"Forest Meadows, California",1551,60
2010,"Forest Ranch, California",1335,61
2010,"Forestville, California",3380,62
2010,"Fort Bidwell, California",140,63
2010,"Fort Bragg, California",7196,64
2010,"Fort Irwin, California",9107,65
2010,"Fort Jones, California",520,66
2010,"Fortuna, California",11646,67
2010,"Fort Washington, California",432,68
2010,"Foster City, California",29746,69
2010,"Fountain Valley, California",54961,70
2010,"Fowler, California",5305,71
2010,"Franklin (Merced County), California",5177,72
2010,"Franklin (Sacramento County), California",0,73
2010,"Frazier Park, California",2393,74
2010,"Freedom, California",2816,75
2010,"Freeport, California",20,76
2010,"Fremont, California",209235,77
2010,"French Camp, California",5779,78
2010,"French Gulch, California",173,79
2010,"French Valley, California",21008,80
2010,"Fresno, California",484008,81
2010,"Friant, California",462,82
2010,"Fruitdale, California",967,83
2010,"Fruitridge Pocket, California",5812,84
2010,"Fuller Acres, California",994,85
2010,"Fullerton, California",132872,86
2010,"Fulton, California",596,87
2010,"Furnace Creek, California",64,88
2010,"Galt, California",23074,89
2010,"Garberville, California",644,90
2010,"Gardena, California",58668,91
2010,"Garden Acres, California",10471,92
2010,"Garden Farms, California",451,93
2010,"Garden Grove, California",169009,94
2010,"Garey, California",103,95
2010,"Garnet, California",6597,96
2010,"Gasquet, California",572,97
2010,"Gazelle, California",170,98
2010,"Georgetown, California",2378,99
2010,"Gerber, California",929,100
2010,"Geyserville, California",993,101
2010,"Gilroy, California",46807,102
2010,"Glen Avon, California",19587,103
2010,"Glendale, California",192190,104
2010,"Glendora, California",49882,105
2010,"Glen Ellen, California",927,106
2010,"Golden Hills, California",8574,107
2010,"Gold Mountain, California",0,108
2010,"Gold River, California",8339,109
2010,"Goleta, California",29397,110
