RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01
102001,United States,0,1341,1346,1353,1366,1386,1401,1412,1418,1419,1418,1418,1417,1422,1431,1440,1453,1464,1473,1479,1484,1485,1485,1486,1485,1490,1498,1508,1519,1529,1538,1539,1542,1542,1541,1540,1540,1543,1550,1558,1568,1578,1585,1591,1591,1583,1583,1585,1586,1591,1599,1608,1619,1630,1639,1644,1647,1646,1645,1646,1646,1650,1658,1668,1679,1691,1701,1706,1708,1706,1703,1700,1705,1712,1721,1728,1725,1723,1725,1725,1716,1713,1707,1715,1715,1721
394913,"New York, NY",1,2280,2299,2303,2334,2369,2391,2405,2414,2415,2414,2415,2412,2417,2430,2448,2477,2490,2507,2517,2521,2529,2528,2519,2514,2514,2519,2528,2555,2569,2581,2565,2577,2580,2575,2574,2560,2565,2566,2576,2594,2609,2618,2627,2621,2636,2616,2598,2593,2584,2593,2605,2624,2640,2655,2665,2667,2667,2657,2647,2641,2645,2655,2670,2676,2705,2729,2738,2742,2733,2732,2711,2700,2703,2728,2740,2725,2715,2698,2666,2602,2551,2496,2471,2450,2465
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1789,1811,1820,1848,1884,1918,1943,1959,1966,1975,1984,1987,1998,2005,2021,2037,2050,2062,2079,2094,2108,2109,2122,2128,2139,2150,2165,2183,2203,2214,2217,2232,2241,2247,2246,2254,2259,2273,2285,2304,2318,2327,2340,2349,2353,2355,2356,2356,2366,2377,2384,2399,2408,2427,2433,2444,2450,2459,2466,2466,2467,2477,2484,2494,2502,2517,2529,2536,2539,2536,2537,2547,2562,2567,2566,2544,2527,2533,2532,2527,2524,2525,2539,2533,2542
394463,"Chicago, IL",3,1403,1414,1416,1432,1453,1469,1478,1481,1478,1470,1467,1465,1470,1475,1465,1476,1497,1515,1522,1528,1524,1515,1509,1509,1516,1524,1536,1550,1563,1574,1578,1577,1568,1557,1548,1544,1541,1555,1569,1582,1596,1604,1609,1602,1594,1581,1572,1573,1577,1587,1598,1609,1622,1632,1636,1634,1624,1611,1606,1605,1614,1623,1637,1652,1665,1673,1678,1680,1671,1663,1656,1654,1663,1671,1680,1676,1676,1678,1672,1659,1640,1623,1615,1611,1614
394514,"Dallas-Fort Worth, TX",4,1167,1157,1168,1186,1207,1224,1232,1239,1240,1237,1238,1242,1243,1250,1264,1274,1283,1294,1300,1305,1304,1302,1306,1300,1303,1315,1327,1339,1351,1364,1369,1372,1371,1374,1372,1372,1374,1379,1390,1396,1408,1419,1424,1424,1422,1421,1420,1421,1425,1430,1437,1444,1451,1463,1467,1464,1462,1464,1473,1468,1472,1479,1486,1498,1508,1518,1522,1522,1519,1521,1518,1519,1524,1532,1536,1529,1524,1529,1534,1533,1534,1537,1550,1555,1555
394974,"Philadelphia, PA",5,1293,1271,1289,1300,1318,1329,1340,1343,1342,1337,1330,1317,1331,1334,1346,1355,1366,1371,1378,1375,1373,1373,1371,1373,1369,1378,1388,1401,1408,1414,1420,1413,1414,1411,1416,1418,1415,1418,1429,1436,1440,1444,1444,1443,1442,1438,1436,1435,1434,1447,1456,1467,1480,1481,1485,1485,1486,1487,1490,1489,1494,1501,1512,1520,1526,1531,1538,1536,1536,1535,1541,1541,1543,1551,1561,1556,1551,1553,1556,1555,1560,1552,1566,1569,1578
394692,"Houston, TX",6,1200,1192,1210,1246,1283,1306,1321,1329,1330,1333,1327,1329,1332,1338,1347,1356,1367,1375,1378,1379,1377,1367,1368,1367,1365,1370,1374,1379,1383,1388,1389,1383,1381,1376,1370,1367,1364,1366,1369,1372,1378,1381,1378,1378,1384,1394,1400,1405,1407,1413,1418,1425,1431,1435,1439,1438,1432,1425,1429,1423,1421,1424,1434,1442,1451,1458,1463,1462,1458,1450,1449,1454,1458,1460,1465,1460,1449,1451,1448,1448,1451,1445,1462,1462,1464
395209,"Washington, DC",7,1772,1784,1786,1801,1838,1860,1878,1886,1888,1880,1868,1855,1864,1868,1876,1889,1898,1908,1911,1910,1908,1908,1911,1905,1906,1916,1926,1935,1944,1955,1932,1945,1946,1939,1934,1932,1940,1945,1951,1969,1981,1988,1992,1988,1978,1969,1958,1956,1956,1964,1969,1989,2006,2022,2031,2031,2025,2019,2015,2014,2015,2029,2040,2054,2069,2081,2086,2088,2082,2075,2065,2067,2076,2081,2093,2086,2077,2073,2066,2049,2029,2003,2014,2012,2006
394856,"Miami-Fort Lauderdale, FL",8,1519,1514,1517,1526,1536,1545,1560,1571,1582,1589,1595,1600,1606,1618,1619,1623,1636,1643,1650,1662,1672,1679,1685,1689,1696,1707,1711,1711,1717,1717,1717,1723,1728,1730,1733,1735,1735,1735,1739,1740,1740,1741,1747,1750,1755,1761,1762,1766,1769,1775,1773,1780,1780,1788,1793,1801,1808,1812,1819,1819,1819,1824,1824,1826,1830,1830,1835,1842,1843,1851,1859,1865,1874,1878,1880,1871,1860,1859,1863,1866,1864,1872,1886,1896,1913
394347,"Atlanta, GA",9,1095,1107,1107,1119,1130,1143,1148,1152,1151,1151,1156,1156,1157,1164,1172,1183,1194,1205,1215,1217,1214,1212,1214,1216,1222,1230,1243,1256,1268,1279,1287,1290,1291,1295,1293,1293,1298,1304,1313,1321,1332,1344,1354,1359,1362,1356,1357,1358,1365,1372,1385,1394,1408,1417,1425,1432,1436,1438,1445,1449,1459,1465,1473,1484,1489,1498,1508,1512,1515,1511,1508,1509,1515,1523,1533,1526,1526,1533,1542,1554,1567,1575,1588,1592,1602
394404,"Boston, MA",10,1966,1994,1990,2011,2028,2049,2065,2075,2063,2056,2027,2023,2032,2057,2080,2099,2116,2132,2137,2134,2130,2121,2109,2105,2130,2158,2174,2189,2209,2226,2222,2227,2216,2204,2186,2198,2221,2242,2252,2272,2284,2296,2303,2293,2272,2256,2252,2254,2281,2298,2314,2329,2348,2359,2367,2358,2340,2336,2328,2330,2349,2365,2383,2406,2428,2440,2442,2436,2418,2406,2400,2408,2430,2449,2465,2465,2446,2438,2418,2359,2302,2266,2257,2247,2277
395057,"San Francisco, CA",11,2106,2153,2169,2185,2244,2324,2379,2436,2485,2514,2508,2531,2560,2599,2629,2653,2681,2726,2761,2784,2801,2799,2803,2807,2820,2837,2848,2873,2902,2920,2890,2915,2907,2894,2890,2873,2880,2887,2901,2927,2939,2975,2998,3004,3000,2979,2968,2964,2971,2976,2992,3014,3029,3060,3084,3096,3099,3080,3074,3083,3078,3096,3109,3122,3138,3168,3192,3192,3184,3167,3149,3156,3169,3179,3178,3177,3157,3142,3094,3035,2961,2919,2918,2888,2876
394532,"Detroit, MI",12,998,1001,1000,1009,1021,1031,1037,1039,1040,1038,1036,1032,1030,1035,1046,1052,1057,1062,1067,1072,1075,1062,1065,1065,1070,1074,1078,1082,1090,1099,1107,1112,1107,1106,1100,1096,1102,1107,1110,1120,1130,1141,1145,1146,1144,1141,1140,1138,1142,1151,1159,1165,1174,1181,1185,1189,1188,1188,1189,1182,1185,1187,1195,1204,1214,1221,1225,1226,1223,1224,1220,1219,1219,1217,1227,1233,1241,1246,1253,1262,1271,1281,1282,1292,1293
395025,"Riverside, CA",13,1415,1423,1430,1446,1459,1471,1479,1485,1495,1493,1501,1504,1509,1518,1525,1544,1545,1548,1557,1566,1571,1576,1582,1585,1589,1600,1607,1619,1623,1630,1638,1644,1654,1658,1666,1667,1676,1682,1696,1712,1720,1730,1739,1745,1746,1753,1764,1766,1769,1788,1797,1813,1822,1833,1840,1849,1857,1861,1857,1869,1875,1885,1889,1900,1909,1914,1927,1940,1949,1949,1954,1958,1973,1974,1980,1973,1976,1993,2013,2042,2079,2109,2119,2139,
394976,"Phoenix, AZ",14,990,990,999,1006,1018,1025,1027,1031,1033,1035,1038,1038,1041,1055,1068,1077,1085,1089,1092,1096,1100,1100,1102,1105,1109,1118,1129,1141,1149,1155,1158,1161,1163,1172,1181,1177,1176,1181,1188,1197,1205,1212,1217,1218,1219,1217,1219,1217,1225,1235,1250,1265,1277,1285,1295,1303,1307,1313,1320,1324,1324,1339,1352,1365,1378,1392,1399,1408,1407,1413,1424,1440,1450,1454,1456,1449,1451,1457,1468,1482,1498,1512,1540,1551,1572
395078,"Seattle, WA",15,1323,1327,1331,1355,1400,1435,1453,1467,1470,1469,1465,1465,1478,1483,1501,1519,1535,1553,1566,1578,1591,1581,1580,1577,1587,1601,1623,1642,1675,1689,1687,1708,1713,1710,1701,1701,1710,1722,1744,1768,1792,1813,1829,1829,1816,1802,1789,1780,1786,1799,1814,1833,1855,1869,1879,1880,1869,1865,1857,1853,1857,1869,1891,1914,1936,1961,1968,1970,1959,1943,1937,1955,1974,1989,2003,1997,1989,1984,1983,1973,1936,1894,1893,1871,1866
394865,"Minneapolis-St Paul, MN",16,1174,1174,1185,1196,1217,1237,1254,1252,1254,1253,1238,1231,1234,1246,1259,1273,1284,1291,1297,1297,1289,1287,1296,1292,1294,1305,1315,1326,1341,1342,1348,1353,1351,1350,1356,1348,1358,1373,1381,1390,1393,1403,1406,1409,1408,1404,1402,1409,1417,1423,1433,1442,1450,1458,1464,1464,1464,1461,1461,1467,1471,1474,1488,1504,1515,1525,1525,1512,1517,1512,1517,1522,1531,1544,1550,1548,1544,1546,1540,1536,1531,1524,1552,1554,1543
395056,"San Diego, CA",17,1645,1661,1660,1679,1719,1735,1749,1760,1765,1771,1784,1783,1800,1828,1833,1839,1850,1862,1876,1883,1888,1892,1890,1888,1902,1917,1929,1949,1973,1981,1983,1994,2005,2001,2000,2007,2009,2017,2040,2049,2068,2083,2096,2101,2101,2101,2094,2097,2112,2120,2127,2139,2171,2186,2199,2210,2212,2202,2204,2200,2201,2204,2209,2221,2237,2249,2262,2270,2271,2270,2270,2275,2284,2288,2292,2271,2278,2295,2301,2312,2325,2342,2350,2358,2383
