RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01
61639,10025,1,"New York, NY",2941,2899,2913,2978,2960,2954,2997,3010,3016,3043,3031,3062,3071,3088,3088,3097,3113,3121,3134,3123,3135,3133,3120,3106,3084,3116,3143,3183,3175,3190,3086,3151,3182,3138,3136,3137,3145,3100,3061,3125,3175,3182,3191,3190,3185,3131,3107,3125,3059,3062,3078,3116,3156,3170,3187,3190,3177,3169,3128,3103,3127,3137,3117,3144,3185,3229,3260,3278,3271,3241,3236,3226,3231,3316,3270,3185,3147,3075,3041,2953,2909,2768,2726,2703,2775
84654,60657,2,"Chicago, IL",1419,1400,1417,1445,1457,1488,1489,1486,1466,1455,1460,1448,1454,1472,1468,1494,1515,1536,1543,1547,1520,1505,1494,1504,1497,1505,1532,1557,1574,1590,1595,1595,1582,1555,1530,1537,1551,1563,1581,1596,1607,1613,1625,1605,1591,1570,1557,1537,1566,1583,1597,1614,1627,1633,1631,1614,1600,1555,1547,1541,1572,1595,1617,1642,1658,1668,1669,1659,1651,1622,1626,1622,1644,1669,1671,1672,1675,1668,1636,1628,1593,1575,1540,1545,1571
61637,10023,3,"New York, NY",3131,3133,3126,3169,3214,3284,3269,3267,3261,3211,3302,3258,3230,3220,3264,3271,3267,3286,3304,3313,3342,3346,3317,3305,3292,3305,3324,3349,3358,3352,3340,3324,3307,3307,3255,3263,3241,3267,3276,3320,3381,3392,3395,3354,3302,3295,3295,3255,3245,3259,3270,3317,3362,3373,3344,3349,3351,3348,3328,3315,3291,3298,3310,3379,3394,3425,3435,3439,3428,3420,3418,3374,3422,3416,3438,3386,3349,3303,3192,3137,3038,2975,2915,2851,2872
91982,77494,4,"Houston, TX",1760,1676,1741,1732,1754,1768,1772,1776,1787,1775,1750,1766,1764,1754,1758,1769,1774,1778,1784,1785,1767,1757,1758,1744,1730,1721,1713,1713,1718,1728,1717,1711,1696,1690,1657,1657,1662,1670,1677,1689,1686,1700,1690,1674,1694,1717,1701,1715,1722,1726,1726,1731,1727,1728,1734,1729,1705,1705,1715,1723,1724,1725,1732,1742,1745,1752,1756,1761,1741,1744,1738,1740,1747,1761,1754,1751,1749,1754,1764,1772,1778,1764,1789,1798,1795
84616,60614,5,"Chicago, IL",1615,1623,1633,1658,1676,1693,1718,1711,1716,1687,1694,1671,1648,1658,1647,1705,1729,1760,1775,1777,1770,1758,1724,1717,1737,1769,1773,1792,1825,1844,1848,1840,1825,1799,1778,1761,1758,1794,1812,1837,1853,1858,1865,1851,1830,1806,1785,1827,1820,1828,1868,1865,1877,1889,1878,1868,1860,1808,1794,1809,1855,1876,1893,1904,1921,1916,1918,1927,1912,1917,1907,1900,1898,1919,1936,1957,1954,1936,1920,1878,1860,1815,1753,1743,1721
91940,77449,6,"Houston, TX",1300,1300,1300,1301,1305,1324,1330,1339,1344,1338,1345,1341,1340,1340,1351,1362,1373,1383,1386,1393,1397,1391,1392,1388,1377,1377,1394,1404,1409,1402,1401,1397,1396,1385,1384,1375,1375,1380,1381,1392,1387,1392,1395,1399,1416,1418,1420,1424,1426,1437,1438,1451,1456,1460,1465,1460,1453,1446,1445,1437,1438,1447,1460,1462,1472,1475,1480,1469,1474,1470,1469,1463,1490,1484,1489,1497,1509,1515,1527,1534,1536,1537,1541,1545,1568
61616,10002,7,"New York, NY",2649,2639,2664,2682,2721,2740,2786,2796,2806,2772,2771,2821,2805,2814,2821,2874,2866,2862,2900,2899,2914,2889,2841,2839,2851,2879,2880,2897,2925,2971,2992,2981,2982,3001,2916,2928,2923,2965,2959,2958,2970,2993,3012,3002,3002,2956,2903,2878,2906,2972,3001,3013,3043,3055,3067,3088,3048,3026,2988,2983,2992,3004,3007,3064,3075,3119,3131,3176,3189,3158,3092,3099,3128,3174,3196,3186,3137,3072,2978,2881,2739,2636,2567,2574,2554
91733,77084,8,"Houston, TX",1121,1169,1152,1176,1206,1234,1195,1228,1246,1251,1257,1257,1249,1255,1271,1277,1280,1284,1286,1299,1307,1297,1306,1301,1301,1295,1304,1313,1308,1303,1302,1308,1306,1302,1296,1296,1296,1287,1301,1307,1307,1308,1318,1318,1337,1347,1345,1336,1346,1344,1342,1356,1358,1367,1364,1377,1400,1385,1388,1368,1364,1357,1383,1398,1411,1406,1409,1404,1382,1388,1383,1401,1392,1404,1419,1421,1424,1433,1428,1441,1453,1424,1431,1438,1438
93144,79936,9,"El Paso, TX",896,958,916,916,920,923,869,890,898,905,899,906,905,921,919,919,915,922,916,919,919,914,912,908,911,925,921,923,919,918,913,932,921,916,956,967,934,925,919,924,921,921,922,924,924,922,928,927,921,917,919,921,927,930,926,935,936,914,928,942,943,923,936,943,951,952,929,948,958,961,973,980,987,985,980,986,991,997,997,1015,1013,1019,1015,1024,1035
84640,60640,10,"Chicago, IL",1253,1268,1258,1258,1270,1279,1283,1289,1292,1285,1285,1282,1277,1289,1266,1284,1307,1323,1335,1347,1352,1334,1341,1345,1338,1329,1346,1359,1367,1379,1384,1388,1384,1382,1356,1370,1362,1368,1391,1401,1409,1414,1413,1411,1400,1385,1376,1387,1384,1394,1412,1417,1425,1436,1440,1430,1430,1425,1421,1422,1420,1424,1435,1447,1455,1464,1475,1468,1477,1461,1448,1448,1455,1470,1448,1454,1464,1471,1452,1452,1437,1421,1404,1388,1410
62037,11226,11,"New York, NY",1683,1670,1649,1634,1679,1673,1711,1714,1685,1694,1710,1672,1701,1736,1761,1799,1805,1817,1835,1834,1836,1868,1864,1848,1847,1869,1878,1883,1917,1971,1963,1961,1967,1937,1944,1929,1955,1941,1943,1943,1967,1975,1975,1990,1971,1952,1957,1942,1937,1944,1957,2006,2022,2029,2046,2060,2069,2036,2014,2013,1998,1995,2022,2022,2059,2058,2060,2075,2092,2080,2072,2040,2064,2025,2117,2090,2099,2071,2074,2048,2019,1982,1951,1908,1906
