,State,City,Population,Violent crime,Property crime,year,"City, State"
0,alabama,hoover,85670.0,114.0,1922.0,2019,"hoover, alabama"
1,alaska,anchorage,287731.0,3581.0,12261.0,2019,"anchorage, alaska"
2,alaska,bethel,6544.0,130.0,132.0,2019,"bethel, alaska"
3,alaska,bristol bay borough,852.0,2.0,20.0,2019,"bristol bay borough, alaska"
4,alaska,cordova,2150.0,0.0,7.0,2019,"cordova, alaska"
5,alaska,craig,1313.0,7.0,20.0,2019,"craig, alaska"
6,alaska,dillingham,2405.0,49.0,58.0,2019,"dillingham, alaska"
7,alaska,fairbanks,31493.0,247.0,1353.0,2019,"fairbanks, alaska"
8,alaska,haines,2441.0,9.0,13.0,2019,"haines, alaska"
9,alaska,homer,5913.0,12.0,146.0,2019,"homer, alaska"
10,alaska,juneau,31810.0,289.0,1292.0,2019,"juneau, alaska"
11,alaska,kenai,7862.0,75.0,446.0,2019,"kenai, alaska"
12,alaska,ketchikan,8316.0,40.0,421.0,2019,"ketchikan, alaska"
13,alaska,kodiak,5947.0,49.0,190.0,2019,"kodiak, alaska"
14,alaska,kotzebue,3272.0,77.0,83.0,2019,"kotzebue, alaska"
15,alaska,nome,3899.0,107.0,53.0,2019,"nome, alaska"
16,alaska,north pole,2111.0,16.0,79.0,2019,"north pole, alaska"
17,alaska,north slope borough,9801.0,123.0,72.0,2019,"north slope borough, alaska"
18,alaska,palmer,7490.0,21.0,204.0,2019,"palmer, alaska"
19,alaska,petersburg,3181.0,10.0,88.0,2019,"petersburg, alaska"
20,alaska,seward,2732.0,9.0,105.0,2019,"seward, alaska"
21,alaska,sitka,8512.0,16.0,168.0,2019,"sitka, alaska"
22,alaska,skagway,1159.0,1.0,9.0,2019,"skagway, alaska"
23,alaska,soldotna,4756.0,13.0,142.0,2019,"soldotna, alaska"
24,alaska,unalaska,4513.0,7.0,39.0,2019,"unalaska, alaska"
25,alaska,valdez,3816.0,5.0,40.0,2019,"valdez, alaska"
26,alaska,wasilla,10915.0,48.0,580.0,2019,"wasilla, alaska"
27,alaska,wrangell,2489.0,2.0,11.0,2019,"wrangell, alaska"
28,arizona,apache junction4,42531.0,95.0,0.0,2019,"apache junction4, arizona"
29,arizona,avondale,87117.0,251.0,3095.0,2019,"avondale, arizona"
30,arizona,buckeye,77904.0,107.0,1265.0,2019,"buckeye, arizona"
31,arizona,bullhead city,40532.0,129.0,1352.0,2019,"bullhead city, arizona"
32,arizona,camp verde,11286.0,46.0,265.0,2019,"camp verde, arizona"
33,arizona,casa grande,58366.0,274.0,1336.0,2019,"casa grande, arizona"
34,arizona,chandler,259881.0,593.0,5382.0,2019,"chandler, arizona"
35,arizona,chino valley,12162.0,37.0,154.0,2019,"chino valley, arizona"
36,arizona,clarkdale,4434.0,3.0,44.0,2019,"clarkdale, arizona"
37,arizona,coolidge,13138.0,70.0,393.0,2019,"coolidge, arizona"
38,arizona,cottonwood,12331.0,45.0,422.0,2019,"cottonwood, arizona"
39,arizona,douglas,15786.0,10.0,594.0,2019,"douglas, arizona"
40,arizona,eagar,4897.0,11.0,21.0,2019,"eagar, arizona"
41,arizona,el mirage,36185.0,84.0,982.0,2019,"el mirage, arizona"
42,arizona,flagstaff,75013.0,367.0,2371.0,2019,"flagstaff, arizona"
43,arizona,florence,26385.0,44.0,74.0,2019,"florence, arizona"
44,arizona,fredonia,1296.0,1.0,13.0,2019,"fredonia, arizona"
45,arizona,gilbert,253619.0,245.0,3050.0,2019,"gilbert, arizona"
46,arizona,glendale,253951.0,863.0,8083.0,2019,"glendale, arizona"
47,arizona,globe,7323.0,134.0,525.0,2019,"globe, arizona"
48,arizona,goodyear,85305.0,172.0,2045.0,2019,"goodyear, arizona"
49,arizona,hayden,979.0,8.0,35.0,2019,"hayden, arizona"
50,arizona,holbrook,5098.0,39.0,324.0,2019,"holbrook, arizona"
51,arizona,huachuca city,1723.0,6.0,20.0,2019,"huachuca city, arizona"
52,arizona,jerome,459.0,1.0,19.0,2019,"jerome, arizona"
53,arizona,kearny,2170.0,1.0,14.0,2019,"kearny, arizona"
54,arizona,kingman,30600.0,100.0,1342.0,2019,"kingman, arizona"
55,arizona,lake havasu city,55413.0,87.0,670.0,2019,"lake havasu city, arizona"
56,arizona,mammoth,1669.0,3.0,14.0,2019,"mammoth, arizona"
57,arizona,marana,48816.0,35.0,1132.0,2019,"marana, arizona"
58,arizona,maricopa,50881.0,85.0,604.0,2019,"maricopa, arizona"
59,arizona,mesa,518160.0,1953.0,9683.0,2019,"mesa, arizona"
60,arizona,miami,1768.0,27.0,31.0,2019,"miami, arizona"
61,arizona,nogales,20112.0,41.0,608.0,2019,"nogales, arizona"
62,arizona,oro valley,45970.0,22.0,588.0,2019,"oro valley, arizona"
63,arizona,page,7588.0,126.0,537.0,2019,"page, arizona"
64,arizona,paradise valley,14733.0,10.0,161.0,2019,"paradise valley, arizona"
65,arizona,parker,3219.0,2.0,81.0,2019,"parker, arizona"
66,arizona,payson,15760.0,59.0,288.0,2019,"payson, arizona"
67,arizona,peoria,174571.0,407.0,3273.0,2019,"peoria, arizona"
68,arizona,phoenix,1688722.0,11803.0,55974.0,2019,"phoenix, arizona"
69,arizona,pima,2530.0,0.0,36.0,2019,"pima, arizona"
70,arizona,pinetop-lakeside,4452.0,21.0,143.0,2019,"pinetop-lakeside, arizona"
71,arizona,prescott,43781.0,214.0,684.0,2019,"prescott, arizona"
72,arizona,prescott valley,46700.0,93.0,474.0,2019,"prescott valley, arizona"
73,arizona,safford,9916.0,21.0,363.0,2019,"safford, arizona"
74,arizona,sahuarita,30928.0,43.0,345.0,2019,"sahuarita, arizona"
75,arizona,san luis,34192.0,33.0,420.0,2019,"san luis, arizona"
76,arizona,scottsdale,260464.0,415.0,5099.0,2019,"scottsdale, arizona"
77,arizona,show low,11401.0,59.0,332.0,2019,"show low, arizona"
78,arizona,sierra vista,44310.0,116.0,987.0,2019,"sierra vista, arizona"
79,arizona,snowflake-taylor,10173.0,53.0,151.0,2019,"snowflake-taylor, arizona"
80,arizona,somerton,16771.0,36.0,129.0,2019,"somerton, arizona"
81,arizona,springerville,1984.0,0.0,11.0,2019,"springerville, arizona"
82,arizona,st. johns,3520.0,12.0,59.0,2019,"st. johns, arizona"
83,arizona,surprise,140962.0,138.0,2083.0,2019,"surprise, arizona"
84,arizona,tempe,196499.0,889.0,7420.0,2019,"tempe, arizona"
85,arizona,thatcher,5177.0,3.0,112.0,2019,"thatcher, arizona"
86,arizona,tolleson,7399.0,68.0,666.0,2019,"tolleson, arizona"
87,arizona,tucson,548374.0,3775.0,17943.0,2019,"tucson, arizona"
88,arizona,wellton,3048.0,5.0,31.0,2019,"wellton, arizona"
89,arizona,wickenburg,7054.0,17.0,148.0,2019,"wickenburg, arizona"
90,arizona,willcox,3507.0,7.0,127.0,2019,"willcox, arizona"
91,arizona,williams,3251.0,26.0,66.0,2019,"williams, arizona"
92,arizona,winslow,9393.0,126.0,445.0,2019,"winslow, arizona"
93,arizona,yuma,98769.0,376.0,2302.0,2019,"yuma, arizona"
94,arkansas,alexander,3315.0,15.0,73.0,2019,"alexander, arkansas"
95,arkansas,alma,5888.0,35.0,228.0,2019,"alma, arkansas"
96,arkansas,altus,729.0,0.0,22.0,2019,"altus, arkansas"
97,arkansas,amity,675.0,1.0,2.0,2019,"amity, arkansas"
98,arkansas,ashdown,4370.0,13.0,102.0,2019,"ashdown, arkansas"
99,arkansas,ash flat,1095.0,5.0,40.0,2019,"ash flat, arkansas"
100,arkansas,atkins,3037.0,11.0,76.0,2019,"atkins, arkansas"
101,arkansas,augusta,1939.0,12.0,31.0,2019,"augusta, arkansas"
102,arkansas,austin,3973.0,4.0,21.0,2019,"austin, arkansas"
103,arkansas,bald knob,2872.0,23.0,118.0,2019,"bald knob, arkansas"
104,arkansas,barling,5010.0,28.0,75.0,2019,"barling, arkansas"
105,arkansas,batesville,10889.0,29.0,262.0,2019,"batesville, arkansas"
106,arkansas,bay,1805.0,3.0,24.0,2019,"bay, arkansas"
107,arkansas,bearden,859.0,1.0,7.0,2019,"bearden, arkansas"
108,arkansas,beebe,8242.0,23.0,273.0,2019,"beebe, arkansas"
109,arkansas,bella vista,28931.0,49.0,188.0,2019,"bella vista, arkansas"
110,arkansas,benton,37161.0,212.0,1328.0,2019,"benton, arkansas"
111,arkansas,bentonville,53434.0,119.0,734.0,2019,"bentonville, arkansas"
112,arkansas,berryville,5547.0,25.0,193.0,2019,"berryville, arkansas"
113,arkansas,bethel heights,2810.0,4.0,18.0,2019,"bethel heights, arkansas"
114,arkansas,blytheville,13468.0,109.0,629.0,2019,"blytheville, arkansas"
115,arkansas,bono,2444.0,6.0,28.0,2019,"bono, arkansas"
116,arkansas,booneville,3829.0,17.0,107.0,2019,"booneville, arkansas"
117,arkansas,bradford,732.0,2.0,8.0,2019,"bradford, arkansas"
118,arkansas,brinkley,2623.0,29.0,80.0,2019,"brinkley, arkansas"
119,arkansas,brookland,3759.0,7.0,60.0,2019,"brookland, arkansas"
120,arkansas,bryant,21214.0,32.0,888.0,2019,"bryant, arkansas"
121,arkansas,bull shoals,1971.0,2.0,21.0,2019,"bull shoals, arkansas"
122,arkansas,cabot,26875.0,100.0,371.0,2019,"cabot, arkansas"
123,arkansas,caddo valley,588.0,1.0,34.0,2019,"caddo valley, arkansas"
124,arkansas,camden,10742.0,113.0,373.0,2019,"camden, arkansas"
125,arkansas,cammack village,720.0,0.0,14.0,2019,"cammack village, arkansas"
126,arkansas,carlisle,2184.0,4.0,51.0,2019,"carlisle, arkansas"
127,arkansas,cave springs,5580.0,3.0,20.0,2019,"cave springs, arkansas"
128,arkansas,cedarville,1413.0,10.0,19.0,2019,"cedarville, arkansas"
129,arkansas,centerton,16542.0,53.0,139.0,2019,"centerton, arkansas"
130,arkansas,charleston,2454.0,7.0,24.0,2019,"charleston, arkansas"
131,arkansas,cherokee village,4634.0,10.0,78.0,2019,"cherokee village, arkansas"
132,arkansas,cherry valley,583.0,1.0,8.0,2019,"cherry valley, arkansas"
133,arkansas,clarksville,9813.0,29.0,240.0,2019,"clarksville, arkansas"
134,arkansas,clinton,2489.0,8.0,113.0,2019,"clinton, arkansas"
135,arkansas,conway,67336.0,324.0,1842.0,2019,"conway, arkansas"
136,arkansas,corning,3093.0,10.0,41.0,2019,"corning, arkansas"
137,arkansas,cotter,940.0,3.0,17.0,2019,"cotter, arkansas"
138,arkansas,crossett,4846.0,30.0,187.0,2019,"crossett, arkansas"
139,arkansas,damascus,377.0,0.0,4.0,2019,"damascus, arkansas"
140,arkansas,dardanelle,4555.0,28.0,114.0,2019,"dardanelle, arkansas"
141,arkansas,decatur,1813.0,17.0,46.0,2019,"decatur, arkansas"
142,arkansas,de queen,6593.0,33.0,172.0,2019,"de queen, arkansas"
143,arkansas,des arc,1580.0,8.0,20.0,2019,"des arc, arkansas"
144,arkansas,dewitt,3019.0,28.0,84.0,2019,"dewitt, arkansas"
145,arkansas,diaz,1197.0,1.0,14.0,2019,"diaz, arkansas"
146,arkansas,dover,1434.0,8.0,30.0,2019,"dover, arkansas"
147,arkansas,dumas,4084.0,15.0,33.0,2019,"dumas, arkansas"
148,arkansas,earle,2201.0,15.0,46.0,2019,"earle, arkansas"
149,arkansas,el dorado,17820.0,239.0,996.0,2019,"el dorado, arkansas"
150,arkansas,elkins,3246.0,24.0,27.0,2019,"elkins, arkansas"
151,arkansas,england,2723.0,21.0,87.0,2019,"england, arkansas"
152,arkansas,etowah,317.0,0.0,4.0,2019,"etowah, arkansas"
153,arkansas,eudora,1930.0,4.0,32.0,2019,"eudora, arkansas"
154,arkansas,eureka springs,2092.0,22.0,95.0,2019,"eureka springs, arkansas"
155,arkansas,fairfield bay,2202.0,10.0,40.0,2019,"fairfield bay, arkansas"
156,arkansas,farmington,7387.0,33.0,67.0,2019,"farmington, arkansas"
157,arkansas,fayetteville,88500.0,396.0,3966.0,2019,"fayetteville, arkansas"
158,arkansas,flippin,1340.0,5.0,61.0,2019,"flippin, arkansas"
159,arkansas,fordyce,3745.0,42.0,213.0,2019,"fordyce, arkansas"
160,arkansas,forrest city,13887.0,129.0,668.0,2019,"forrest city, arkansas"
161,arkansas,fort smith,88041.0,863.0,5127.0,2019,"fort smith, arkansas"
162,arkansas,gassville,2156.0,9.0,51.0,2019,"gassville, arkansas"
163,arkansas,gentry,3924.0,15.0,21.0,2019,"gentry, arkansas"
164,arkansas,glenwood,2095.0,2.0,24.0,2019,"glenwood, arkansas"
165,arkansas,gosnell,3148.0,14.0,46.0,2019,"gosnell, arkansas"
166,arkansas,gravette,3443.0,14.0,77.0,2019,"gravette, arkansas"
167,arkansas,greenbrier,5660.0,10.0,16.0,2019,"greenbrier, arkansas"
168,arkansas,green forest,2763.0,18.0,66.0,2019,"green forest, arkansas"
169,arkansas,greenland,1450.0,6.0,15.0,2019,"greenland, arkansas"
170,arkansas,greenwood,9436.0,23.0,36.0,2019,"greenwood, arkansas"
171,arkansas,gurdon,2069.0,19.0,32.0,2019,"gurdon, arkansas"
172,arkansas,hamburg,2636.0,18.0,16.0,2019,"hamburg, arkansas"
173,arkansas,harrisburg,2368.0,18.0,37.0,2019,"harrisburg, arkansas"
174,arkansas,harrison,13107.0,50.0,350.0,2019,"harrison, arkansas"
175,arkansas,haskell,4715.0,16.0,75.0,2019,"haskell, arkansas"
176,arkansas,hazen,1336.0,5.0,26.0,2019,"hazen, arkansas"
177,arkansas,heber springs,6912.0,24.0,231.0,2019,"heber springs, arkansas"
178,arkansas,helena-west helena,10187.0,187.0,578.0,2019,"helena-west helena, arkansas"
179,arkansas,highland,1100.0,4.0,17.0,2019,"highland, arkansas"
180,arkansas,hope,9666.0,70.0,396.0,2019,"hope, arkansas"
181,arkansas,hot springs,37263.0,241.0,2674.0,2019,"hot springs, arkansas"
182,arkansas,hoxie,2588.0,5.0,24.0,2019,"hoxie, arkansas"
183,arkansas,jacksonville,28273.0,271.0,1484.0,2019,"jacksonville, arkansas"
184,arkansas,jericho,106.0,0.0,0.0,2019,"jericho, arkansas"
185,arkansas,johnson,3781.0,6.0,85.0,2019,"johnson, arkansas"
186,arkansas,jonesboro,78261.0,537.0,2982.0,2019,"jonesboro, arkansas"
187,arkansas,judsonia,1981.0,12.0,29.0,2019,"judsonia, arkansas"
188,arkansas,kensett,1618.0,7.0,18.0,2019,"kensett, arkansas"
189,arkansas,lake city,2598.0,4.0,19.0,2019,"lake city, arkansas"
190,arkansas,lakeview,715.0,4.0,12.0,2019,"lakeview, arkansas"
191,arkansas,lake village,2241.0,20.0,68.0,2019,"lake village, arkansas"
192,arkansas,lamar,1740.0,0.0,25.0,2019,"lamar, arkansas"
193,arkansas,lincoln,2500.0,9.0,51.0,2019,"lincoln, arkansas"
194,arkansas,little flock,2791.0,10.0,35.0,2019,"little flock, arkansas"
195,arkansas,little rock,198382.0,3009.0,12145.0,2019,"little rock, arkansas"
196,arkansas,lonoke,4261.0,22.0,127.0,2019,"lonoke, arkansas"
197,arkansas,lowell,9723.0,28.0,117.0,2019,"lowell, arkansas"
198,arkansas,luxora,1016.0,1.0,3.0,2019,"luxora, arkansas"
199,arkansas,madison,685.0,3.0,5.0,2019,"madison, arkansas"
200,arkansas,magnolia,11440.0,14.0,295.0,2019,"magnolia, arkansas"
201,arkansas,marianna,3398.0,28.0,154.0,2019,"marianna, arkansas"
202,arkansas,marion,12344.0,122.0,379.0,2019,"marion, arkansas"
203,arkansas,marked tree,2462.0,17.0,50.0,2019,"marked tree, arkansas"
204,arkansas,marmaduke,1264.0,6.0,47.0,2019,"marmaduke, arkansas"
205,arkansas,marshall,1297.0,3.0,12.0,2019,"marshall, arkansas"
206,arkansas,maumelle,18223.0,28.0,301.0,2019,"maumelle, arkansas"
207,arkansas,mayflower,2489.0,10.0,66.0,2019,"mayflower, arkansas"
208,arkansas,mccrory,1513.0,11.0,33.0,2019,"mccrory, arkansas"
209,arkansas,mcgehee,3681.0,31.0,95.0,2019,"mcgehee, arkansas"
210,arkansas,mcrae,661.0,1.0,4.0,2019,"mcrae, arkansas"
211,arkansas,mena,5508.0,3.0,223.0,2019,"mena, arkansas"
