,city_state,id_num,population,crime_rate,rental_rate,walk_score,livability_score
0,"El Dorado Hills, California",0,46192.0,46.36,2477.6,12.0,55.02
1,"Eldridge, California",1,1208.0,46.36,2477.6,46.36,60.56
2,"El Granada, California",2,6695.0,46.36,2477.6,46.36,60.56
3,"Elizabeth Lake, California",3,1941.0,46.36,2477.6,46.36,60.56
4,"Elk Creek, California",4,239.0,46.36,2477.6,46.36,60.56
5,"Elk Grove, California",5,178862.0,15.9,2477.6,32.0,58.29
6,"Elkhorn, California",6,805.0,46.36,2477.6,46.36,60.56
7,"Elmira, California",7,291.0,46.36,2477.6,46.36,60.56
8,"El Monte, California",8,116635.0,22.4,2477.6,62.0,63.11
9,"El Nido, California",9,420.0,46.36,2477.6,46.36,60.56
10,"El Paso de Robles (Paso Robles), California",10,32733.0,46.36,2477.6,40.0,59.53
11,"El Portal, California",11,263.0,46.36,2477.6,46.36,60.56
12,"El Rancho, California",12,93.0,46.36,2477.6,46.36,60.56
13,"El Rio, California",13,7166.0,46.36,2477.6,46.36,60.56
14,"El Segundo, California",14,16984.0,46.0,2477.6,65.0,63.56
15,"El Sobrante (Contra Costa County), California",15,13510.0,46.36,2477.6,46.36,60.56
16,"El Sobrante (Riverside County), California",16,15703.0,46.36,2477.6,46.36,60.56
17,"El Verano, California",17,3531.0,46.36,2477.6,46.36,60.56
18,"Elverta, California",18,5882.0,46.36,2477.6,46.36,60.56
19,"Emerald Lake Hills, California",19,4792.0,46.36,2477.6,46.36,60.56
20,"Emeryville, California",20,12559.0,181.8,2477.6,46.36,60.34
21,"Empire, California",21,4187.0,46.36,2477.6,46.36,60.56
22,"Encinitas, California",22,64288.0,14.3,2477.6,41.0,59.74
23,"Escalon, California",23,7663.0,18.9,2477.6,46.36,60.6
24,"Escondido, California",24,155173.0,21.4,2477.6,44.0,60.22
25,"Esparto, California",25,3943.0,46.36,2477.6,46.36,60.56
26,"Etna, California",26,746.0,0.0,2477.6,46.36,60.63
27,"Eucalyptus Hills, California",27,5930.0,46.36,2477.6,46.36,60.56
28,"Eureka, California",28,27003.0,62.1,2477.6,64.0,63.37
29,"Exeter, California",29,10646.0,27.9,2477.6,46.36,60.59
30,"Fairbanks Ranch, California",30,3020.0,46.36,2477.6,46.36,60.56
