,City,Zip Code,Walk Score,Transit Score,Bike Score,Population,State
0,Birmingham,35211,35,25,31,212237,AL
1,Montgomery,36109,26,16,38,205764,AL
2,Mobile,36605,32,--,39,195111,AL
3,Huntsville,35810,24,13,40,180105,AL
4,Tuscaloosa,,33,--,37,90468,AL
5,Hoover,,17,--,12,81619,AL
6,Dothan,,23,--,35,65496,AL
7,Decatur,,25,--,40,55683,AL
8,Auburn,,27,--,38,53380,AL
9,Madison,35758,17,--,34,42938,AL
10,Florence,35630,32,--,36,39319,AL
11,Gadsden,,25,--,33,36856,AL
12,Vestavia Hills,,22,--,15,34033,AL
13,Prattville,,17,--,28,33960,AL
14,Phenix City,36867,23,--,24,32822,AL
15,Alabaster,,9,--,20,30352,AL
16,Bessemer,,26,--,31,27456,AL
17,Enterprise,,19,--,28,26562,AL
18,Opelika,,17,--,29,26477,AL
19,Homewood,,41,22,27,25167,AL
20,Northport,,26,--,30,23330,AL
21,Anniston,36205,23,--,26,23106,AL
22,Prichard,36612,25,--,39,22659,AL
23,Athens,,21,--,37,21897,AL
24,Daphne,,16,--,32,21570,AL
25,Pelham,,13,--,16,21352,AL
26,Oxford,,10,--,23,21348,AL
27,Albertville,,21,--,34,21160,AL
28,Selma,,33,--,48,20756,AL
29,Mountain Brook,,22,--,16,20413,AL
30,Trussville,,10,--,12,19933,AL
31,Troy,,21,--,24,18033,AL
32,Tillmans Corner,,13,--,31,17398,AL
33,Center Point,,24,--,19,16921,AL
34,Helena,,12,--,18,16793,AL
0,Anchorage,,28,21,52,291826,AK
1,Fairbanks,,33,24,57,31535,AK
2,Juneau,,22,18,35,31275,AK
3,Badger,,2,--,35,19482,AK
0,Phoenix,85032,41,36,56,1445632,AZ
1,Tucson,85710,42,35,67,520116,AZ
2,Mesa,85204,37,27,61,439041,AZ
3,Chandler,85225,35,24,57,236123,AZ
4,Glendale,85301,40,34,59,226721,AZ
5,Scottsdale,85255,31,26,56,217385,AZ
6,Gilbert,85296,28,15,54,208453,AZ
7,Tempe,85281,53,47,74,161719,AZ
8,Peoria,85345,29,14,47,154065,AZ
9,Surprise,85374,21,--,47,117517,AZ
10,Yuma,,31,19,55,93064,AZ
11,San Tan Valley,,13,--,35,81321,AZ
12,Avondale,85329,28,--,52,76238,AZ
13,Casas Adobes,85741,24,--,46,66795,AZ
14,Flagstaff,,38,35,65,65870,AZ
15,Goodyear,,18,--,42,65275,AZ
16,Lake Havasu City,86403,15,--,29,52527,AZ
17,Buckeye,,13,--,33,50876,AZ
18,Catalina Foothills,85718,13,--,30,50796,AZ
19,Casa Grande,,26,--,45,48571,AZ
20,Sierra Vista,85613,25,--,53,43888,AZ
21,Maricopa,,14,--,39,43482,AZ
22,Oro Valley,,12,--,41,41011,AZ
23,Prescott,,25,--,27,39843,AZ
24,Bullhead City,,23,--,32,39540,AZ
25,Prescott Valley,,17,--,36,38822,AZ
26,Sun City,85351,25,--,43,37499,AZ
27,Apache Junction,,18,--,42,35840,AZ
28,Marana,,12,--,38,34961,AZ
29,El Mirage,,27,--,43,31797,AZ
30,Kingman,,24,--,36,28068,AZ
31,Drexel Heights,,15,--,32,27749,AZ
32,Queen Creek,,16,--,44,26361,AZ
33,Fortuna Foothills,85367,13,--,36,26265,AZ
34,Florence,,19,--,39,25536,AZ
35,San Luis,85349,27,--,43,25505,AZ
36,Sahuarita,,9,--,31,25259,AZ
37,Sun City West,,11,--,40,24535,AZ
38,Fountain Hills,85268,19,--,26,22489,AZ
39,Anthem,,18,--,42,21700,AZ
40,Green Valley,,12,--,31,21391,AZ
41,Nogales,,34,--,27,20837,AZ
42,Rio Rico,,6,--,17,18962,AZ
43,Douglas,,41,--,49,17378,AZ
44,Tanque Verde,,4,--,29,16901,AZ
45,Eloy,,14,--,35,16631,AZ
0,Little Rock,72209,32,19,32,193524,AR
1,Fort Smith,72903,35,--,38,86209,AR
2,Fayetteville,,32,--,50,73580,AR
3,Springdale,,26,--,39,69797,AR
4,Jonesboro,,21,--,34,67263,AR
5,North Little Rock,72116,30,19,34,62304,AR
6,Conway,,25,--,37,58908,AR
7,Rogers,,20,--,43,55964,AR
8,Pine Bluff,,28,--,39,49083,AR
9,Bentonville,,25,--,41,35301,AR
10,Hot Springs,,31,--,27,35193,AR
11,Benton,,18,--,27,30681,AR
12,Texarkana,,25,--,40,29919,AR
13,Sherwood,,20,7,29,29523,AR
14,Jacksonville,,23,3,37,28364,AR
15,Russellville,72801,27,--,38,27920,AR
16,Bella Vista,72714,3,--,9,26461,AR
17,West Memphis,,33,--,43,26245,AR
18,Paragould,,22,--,35,26113,AR
19,Cabot,,17,--,31,23776,AR
20,Searcy,,39,--,45,22858,AR
21,Van Buren,,23,--,27,22791,AR
22,El Dorado,,31,--,38,18884,AR
23,Maumelle,,15,--,44,17163,AR
24,Bryant,72022,16,--,31,16688,AR
0,Los Angeles,90011,68,53,59,3792621,CA
1,San Diego,92126,51,37,43,1307402,CA
2,San Jose,95123,49,41,62,945942,CA
3,San Francisco,94112,87,80,72,805235,CA
4,Fresno,93702,45,32,59,494665,CA
5,Sacramento,95822,45,34,68,466488,CA
6,Long Beach,90805,72,52,69,462257,CA
7,Oakland,94601,74,56,65,390724,CA
8,Bakersfield,93309,34,27,44,347483,CA
9,Anaheim,92804,55,37,52,336265,CA
10,Santa Ana,92704,66,45,61,324528,CA
11,Riverside,92505,42,33,49,303871,CA
12,Stockton,95207,43,28,57,291707,CA
13,Chula Vista,91911,43,36,41,243916,CA
14,Fremont,94536,48,36,54,214089,CA
15,Irvine,92612,43,27,69,212375,CA
16,San Bernardino,92405,43,35,44,209924,CA
17,Modesto,95355,45,30,50,201165,CA
18,Oxnard,93035,55,32,52,197899,CA
19,Fontana,92336,36,29,41,196069,CA
20,Moreno Valley,92553,32,29,37,193365,CA
21,Glendale,91205,71,45,52,191719,CA
22,Huntington Beach,92647,55,32,71,189992,CA
23,Santa Clarita,,35,--,33,176320,CA
24,Garden Grove,92840,61,39,58,170883,CA
25,Santa Rosa,95405,44,27,51,167815,CA
26,Oceanside,92057,36,33,33,167086,CA
27,Rancho Cucamonga,91730,40,25,46,165269,CA
28,Ontario,91761,46,26,47,163924,CA
29,Lancaster,,29,--,42,156633,CA
30,Elk Grove,,32,--,46,153015,CA
31,Palmdale,,24,--,35,152750,CA
32,Corona,92879,38,18,35,152374,CA
33,Salinas,93905,47,33,51,150441,CA
34,Pomona,91766,52,35,48,149058,CA
35,Torrance,90503,67,39,55,145438,CA
36,Hayward,94544,55,40,54,144186,CA
37,Escondido,,44,31,40,143911,CA
38,Sunnyvale,94087,59,41,76,140081,CA
39,Pasadena,91104,69,51,70,137122,CA
40,Orange,92867,51,34,55,136416,CA
41,Fullerton,92833,53,34,48,135161,CA
42,Thousand Oaks,91360,32,17,27,126683,CA
43,East Los Angeles,90022,75,56,50,126496,CA
44,Visalia,,35,--,49,124442,CA
45,Simi Valley,93065,36,21,47,124237,CA
46,Concord,94518,46,30,53,122067,CA
47,Roseville,95678,36,20,61,118788,CA
48,Santa Clara,95051,58,41,74,116468,CA
49,Vallejo,94590,40,31,36,115942,CA
50,Victorville,92394,19,23,34,115903,CA
51,El Monte,91732,62,46,58,113475,CA
52,Berkeley,94704,83,59,82,112580,CA
53,Downey,90242,60,--,54,111772,CA
54,Costa Mesa,92627,64,39,66,109960,CA
55,Inglewood,90301,72,49,55,109673,CA
56,San Buenaventura (Ventura),,46,--,57,106433,CA
57,West Covina,91790,44,--,37,106098,CA
58,Norwalk,90650,60,43,53,105549,CA
59,Carlsbad,92009,30,23,29,105328,CA
60,Fairfield,94535,32,25,42,105321,CA
61,Richmond,94804,57,43,53,103701,CA
62,Murrieta,,27,20,24,103466,CA
63,Burbank,91505,70,39,62,103340,CA
64,Antioch,94509,36,--,42,102372,CA
65,Daly City,94015,61,52,35,101123,CA
66,Temecula,,29,16,29,100097,CA
67,Santa Maria,,47,--,55,99553,CA
68,El Cajon,92020,57,38,47,99478,CA
69,Rialto,92376,39,30,45,99171,CA
70,San Mateo,94403,65,40,65,97207,CA
71,Compton,,65,--,61,96455,CA
72,Clovis,93612,36,--,51,95631,CA
73,South Gate,90280,70,--,56,94396,CA
74,Vista,92083,44,34,31,93834,CA
75,Mission Viejo,92691,35,--,37,93305,CA
76,Vacaville,,33,24,46,92428,CA
77,Arden-Arcade,95821,50,32,65,92186,CA
78,Carson,90745,55,--,51,91714,CA
79,Hesperia,,15,--,32,90173,CA
80,Redding,,26,18,42,89861,CA
81,Santa Monica,90405,82,62,86,89736,CA
82,Westminster,92683,63,--,58,89701,CA
83,Santa Barbara,93101,61,--,66,88410,CA
84,Chico,95926,45,--,69,86187,CA
85,Whittier,90602,63,--,52,85331,CA
86,Newport Beach,92660,47,29,53,85186,CA
87,San Leandro,94577,63,45,62,84950,CA
88,Hawthorne,90250,71,45,59,84293,CA
89,San Marcos,92078,33,--,30,83781,CA
90,Citrus Heights,95610,43,--,47,83301,CA
91,Alhambra,91801,71,--,50,83089,CA
92,Tracy,95376,42,--,47,82922,CA
93,Livermore,,40,--,66,80968,CA
94,Buena Park,90620,55,39,55,80530,CA
95,Lakewood,90712,56,--,62,80048,CA
96,Merced,,38,--,53,78958,CA
97,Hemet,,30,--,43,78657,CA
98,Chino,,43,24,48,77983,CA
99,Menifee,92586,16,--,29,77519,CA
100,Lake Forest,92630,39,--,46,77264,CA
101,Napa,,42,--,60,76915,CA
102,Redwood City,94061,61,--,67,76815,CA
103,Bellflower,90706,65,--,61,76616,CA
104,Indio,,31,--,43,76036,CA
105,Tustin,92780,51,34,59,75540,CA
106,Baldwin Park,,53,--,50,75390,CA
107,Chino Hills,91709,23,--,20,74799,CA
108,Mountain View,94040,65,43,90,74066,CA
109,Alameda,94501,66,41,76,73812,CA
110,Upland,91786,47,29,49,73732,CA
111,Folsom,95630,30,--,55,72203,CA
112,San Ramon,,24,--,37,72148,CA
113,Pleasanton,,40,--,58,70285,CA
114,Lynwood,90262,69,--,57,69772,CA
115,Union City,,47,--,53,69516,CA
116,Apple Valley,,12,20,31,69135,CA
117,Redlands,,39,--,53,68747,CA
118,Turlock,,41,29,46,68549,CA
119,Perris,,24,--,33,68386,CA
120,Manteca,,41,--,46,67096,CA
121,Milpitas,,52,39,66,66790,CA
122,Redondo Beach,90278,74,--,64,66748,CA
123,Davis,,44,34,90,65622,CA
124,Camarillo,,42,--,46,65201,CA
125,Yuba City,,41,--,56,64925,CA
126,Rancho Cordova,,41,33,60,64776,CA
127,Palo Alto,94306,60,39,91,64403,CA
128,Yorba Linda,92887,28,--,34,64234,CA
129,Walnut Creek,94596,39,26,49,64173,CA
130,South San Francisco,94080,57,--,43,63632,CA
131,San Clemente,92672,34,--,31,63522,CA
132,Florence-Graham,,75,59,57,63387,CA
133,Pittsburg,,34,--,40,63264,CA
134,Laguna Niguel,92677,32,--,32,62979,CA
135,Pico Rivera,90660,58,--,60,62942,CA
136,Montebello,90640,65,--,53,62500,CA
137,Lodi,,55,13,53,62134,CA
138,Carmichael,95608,44,--,56,61762,CA
139,Madera,,44,--,46,61416,CA
140,Castro Valley,94546,39,26,31,61388,CA
141,Monterey Park,91754,63,--,39,60269,CA
142,La Habra,,62,--,47,60239,CA
143,Santa Cruz,95064,62,37,84,59946,CA
144,Encinitas,92024,41,--,36,59518,CA
145,Tulare,,40,--,57,59278,CA
146,Gardena,90249,75,46,57,58829,CA
147,National City,91950,66,47,48,58582,CA
148,Cupertino,,48,35,66,58302,CA
149,Huntington Park,,82,53,60,58114,CA
150,Petaluma,,47,30,56,57941,CA
151,San Rafael,94901,51,37,46,57713,CA
152,South Whittier,,53,--,48,57156,CA
153,La Mesa,91942,59,42,36,57065,CA
154,Rocklin,95765,32,--,51,56974,CA
155,Arcadia,91007,54,--,47,56364,CA
156,Diamond Bar,,29,--,18,55544,CA
157,Woodland,,48,28,67,55468,CA
158,Fountain Valley,92708,55,34,66,55313,CA
159,Porterville,,40,--,47,54165,CA
160,Paramount,90723,63,--,57,54098,CA
161,Hacienda Heights,91745,34,--,30,54038,CA
162,Hanford,,35,21,47,53967,CA
163,Rosemead,,64,40,52,53764,CA
164,Eastvale,,24,--,34,53668,CA
165,Santee,,33,--,31,53413,CA
166,Highland,,33,28,36,53104,CA
167,Delano,,34,--,40,53041,CA
168,Colton,,41,29,45,52154,CA
169,Novato,,33,30,37,51904,CA
170,Lake Elsinore,,21,--,24,51821,CA
171,Brentwood,,35,--,50,51481,CA
172,Yucaipa,,24,--,27,51367,CA
173,Cathedral City,92234,36,--,43,51200,CA
174,Watsonville,95019,65,32,71,51199,CA
175,Placentia,92870,50,31,47,50533,CA
176,Glendora,91741,45,31,42,50073,CA
177,Cerritos,90703,53,--,57,49041,CA
178,Rowland Heights,,43,--,34,48993,CA
179,Gilroy,,42,--,63,48821,CA
180,West Sacramento,95605,33,24,62,48744,CA
181,La Mirada,90638,47,--,52,48527,CA
182,Palm Desert,,27,--,40,48445,CA
183,Rancho Santa Margarita,,33,--,34,47853,CA
184,Aliso Viejo,,36,--,36,47823,CA
185,Poway,,29,--,31,47811,CA
186,Cypress,90630,52,32,63,47802,CA
187,Covina,91723,57,35,49,47796,CA
188,Florin,,42,--,46,47513,CA
189,Azusa,,56,41,50,46361,CA
190,Dublin,94568,37,--,56,46036,CA
191,Antelope,95843,33,--,44,45770,CA
192,Ceres,,39,19,45,45417,CA
193,San Luis Obispo,,54,30,68,45119,CA
194,Palm Springs,92264,35,29,46,44552,CA
195,San Jacinto,92582,28,--,42,44199,CA
196,Lincoln,,22,--,49,42819,CA
197,Altadena,91001,50,--,44,42777,CA
198,North Highlands,95660,48,31,57,42694,CA
199,El Centro,,49,--,49,42598,CA
200,Newark,,54,31,48,42573,CA
201,Lompoc,,51,--,65,42434,CA
202,El Dorado Hills,95762,12,--,18,42108,CA
203,Bell Gardens,,70,--,62,42072,CA
204,Danville,94526,23,--,35,42039,CA
205,Rancho Palos Verdes,90275,28,--,21,41643,CA
206,San Bruno,94066,52,--,36,41114,CA
207,Rohnert Park,94928,42,--,56,40971,CA
208,Coachella,,38,--,43,40704,CA
209,La Puente,,57,--,47,39816,CA
210,San Gabriel,91776,73,37,51,39718,CA
211,Campbell,95008,54,39,71,39349,CA
212,Brea,,49,--,47,39282,CA
213,Culver City,90232,75,51,71,38883,CA
214,Calexico,,53,--,49,38572,CA
215,Stanton,90680,61,39,57,38186,CA
216,Morgan Hill,,30,23,50,37882,CA
217,La Quinta,92253,22,--,34,37467,CA
218,Pacifica,,40,--,26,37234,CA
219,Beaumont,,22,--,31,36877,CA
220,Montclair,91763,55,36,54,36664,CA
221,Monrovia,91016,61,33,47,36590,CA
222,Willowbrook,,57,--,53,35983,CA
223,Los Banos,,32,--,40,35972,CA
224,Martinez,,38,--,39,35824,CA
225,Temple City,91780,56,40,56,35558,CA
226,Bell,,77,--,61,35477,CA
227,Oakley,94561,25,--,50,35432,CA
228,Manhattan Beach,90266,72,--,52,35135,CA
229,Hollister,,42,20,49,34928,CA
230,Claremont,91711,46,--,50,34926,CA
231,San Juan Capistrano,,34,--,46,34593,CA
232,Moorpark,,30,--,32,34421,CA
233,West Hollywood,,91,61,57,34399,CA
234,Rubidoux,,30,--,32,34280,CA
235,La Presa,,41,32,33,34169,CA
236,Beverly Hills,90212,75,60,53,34109,CA
237,Orangevale,95662,32,--,41,33960,CA
238,San Dimas,91773,35,--,33,33371,CA
239,Dana Point,92629,52,27,43,33351,CA
240,Pleasant Hill,94523,51,29,60,33152,CA
241,Foothill Farms,95842,41,--,56,33121,CA
242,Seaside,93955,51,--,48,33025,CA
243,Lawndale,,81,--,59,32769,CA
244,Oildale,,44,33,48,32684,CA
245,Wildomar,92595,10,--,22,32176,CA
246,Menlo Park,94025,57,--,79,32026,CA
247,Westmont,,60,56,56,31853,CA
248,Adelanto,,12,--,31,31765,CA
249,La Verne,,40,--,39,31063,CA
250,Fair Oaks,95628,37,23,40,30912,CA
251,Foster City,94404,44,--,65,30567,CA
252,Fallbrook,,38,--,26,30534,CA
253,Laguna Hills,,40,28,41,30344,CA
254,Saratoga,,28,--,45,29926,CA
255,Goleta,,42,--,71,29888,CA
256,El Paso de Robles (Paso Robles),,40,--,31,29793,CA
257,Banning,,29,--,32,29603,CA
258,Los Gatos,,43,--,51,29413,CA
259,Santa Paula,,55,--,47,29321,CA
260,Walnut,,30,36,29,29172,CA
261,San Pablo,,70,44,51,29139,CA
262,Los Altos,,45,30,72,28976,CA
263,Orcutt,,23,--,40,28905,CA
264,Burlingame,,65,--,65,28806,CA
265,San Carlos,94070,45,--,41,28406,CA
266,Atascadero,,26,--,29,28310,CA
267,Spring Valley,,33,28,25,28205,CA
268,Atwater,,39,--,43,28168,CA
269,East Palo Alto,,58,--,70,28155,CA
270,Suisun City,,33,--,51,28111,CA
271,Monterey,,54,39,47,27810,CA
272,Ridgecrest,,33,--,50,27616,CA
273,Maywood,90270,78,43,63,27395,CA
274,Eureka,,64,--,70,27191,CA
275,Norco,92860,22,--,29,27063,CA
276,Benicia,,29,--,24,26997,CA
277,Windsor,,37,--,48,26801,CA
278,Imperial Beach,91932,67,37,62,26324,CA
279,Paradise,,20,--,28,26218,CA
280,Desert Hot Springs,,34,29,33,25938,CA
281,Belmont,,46,11,37,25835,CA
282,Soledad,,27,--,40,25738,CA
283,South Pasadena,91030,67,46,50,25619,CA
284,Wasco,,35,--,40,25545,CA
285,West Whittier-Los Nietos,,60,--,58,25540,CA
286,Lemon Grove,91945,49,39,35,25320,CA
287,Twentynine Palms,,18,--,31,25048,CA
